iso3,year,pop,inc,inc.sd,newinc,inc.lo,inc.hi,inc.num,inc.lo.num,inc.hi.num
SWZ,2000,1005435,980.74661123769,207.151699016465,584.523116859867,617.237168000514,1426.09470094149,9860.76969069767,6205.91852008597,14338.4552564111
SWZ,2001,1013609,1012.73108229083,213.907406805697,603.585800836417,637.353765475449,1472.58961161338,10265.1333958973,6460.27512869805,14926.3008363783
SWZ,2002,1019059,1111.0430059093,234.67269090435,662.179520518439,699.18175384518,1615.49747059189,11322.1837455892,7125.07458891715,16462.872368839
SWZ,2003,1022802,1271.18633921432,268.497904471421,757.624642892759,799.87846855486,1848.26708717611,13001.7193012109,8181.17297394848,18904.112732979
SWZ,2004,1026286,1319.51419779109,278.70563590714,786.427954780636,830.262495456604,1918.50776256718,13541.9894799423,8520.86775412177,19689.3765761402
SWZ,2005,1030579,1417.2374228881,299.346576064624,844.670811262407,891.695866095452,2060.53460377439,14605.7512604259,9189.63033984785,21235.4369142321
SWZ,2006,1036092,1460.38389639878,308.459903800753,870.386027495628,918.817260447943,2123.23930011916,15130.920719876,9519.7921301203,21998.7125293906
SWZ,2007,1042652,1430.27579855464,302.100520499193,852.441658386499,899.891805220677,2079.4834197694,14912.799219146,9382.73990496949,21681.7754658941
SWZ,2008,1049945,1387.90070970074,293.15012337166,827.186185943073,873.254262626528,2017.89870501334,14572.1941064675,9168.6894677341,21186.8265583524
SWZ,2009,1057467,1592.70554747886,336.408667042779,949.249480125621,1001.98364947582,2315.53224139925,16842.3355717582,10595.6464386025,24485.9893271575
SWZ,2010,1064837,1591.60891354521,336.177037812608,948.595888384795,1001.29445574102,2313.93864853602,16948.0406067274,10662.153843679,24639.6748869115
SWZ,2011,1072033,1304.83852899957,275.60586509016,777.68128406495,821.036012289184,1897.17806125675,13988.29962759,8801.77699362411,20338.3748854326
SWZ,2012,1079288,1113.86862502163,235.26951356291,663.863584140656,700.95865890636,1619.60471783447,12021.8504056234,7565.36269053727,17480.1993670213
SWZ,2013,1086843,1025.231148557,216.547650407036,611.035816580684,645.215443292467,1490.76036740735,11142.6529719114,7012.47888034314,16202.2246999411
SWZ,2014,1095019,855.462738775135,180.689443891027,509.854166913999,538.432058714696,1243.96487963747,9367.47952750809,5895.93334501708,13621.6517853574
SWZ,2015,1104044,648.32026072716,136.937147656256,386.397643572177,408.109164756081,942.805482693299,7157.74093934256,4505.70474693963,10408.9873633464
SWZ,2016,1113997,537.247264444508,113.476490610739,320.198348828588,338.213857908185,781.30451477606,5984.91840849389,3767.69223068144,8703.70885546987
SWZ,2017,1124805,502.251223003911,106.084683838018,299.340774623157,316.189731748212,730.417898540925,5649.34686890914,3556.51791219048,8215.77704368325
SWZ,2018,1136281,441.067037440398,93.1614599928439,262.875116278456,277.682226471125,641.449522302711,5011.76094369813,3155.25037976836,7288.66904651647
