iso3,year,pop,inc,inc.sd,newinc,inc.lo,inc.hi
ZAF,2000,44967708,762.313326081358,164.321861373523,336.328015650698,474.745085053184,1116.26587657598
ZAF,2001,45571274,867.260249661201,186.943889925369,325.329943595608,540.065063527848,1269.90207403287
ZAF,2002,46150913,971.172549384474,209.34289821492,466.122956224073,604.732001909442,1422.014234854
ZAF,2003,46719196,1067.52277251818,230.111849074628,486.566592455915,664.684793773912,1563.04824700013
ZAF,2004,47291610,1150.24307104888,247.9427762838,565.195390894918,716.150291099623,1684.12479928323
ZAF,2005,47880601,1213.65678957549,261.612037870075,564.274454282644,755.600041558612,1776.93852384712
ZAF,2006,48489459,1253.65558222377,270.234051726827,625.113181815454,780.481589994094,1835.4798300445
ZAF,2007,49119759,1272.16192408646,274.223220534517,641.931081135801,791.993140257741,1862.56480783891
ZAF,2008,49779471,1272.79169286756,200.467532156165,699.567498417169,910.21603729208,1694.32355192033
ZAF,2009,50477011,1259.09154116663,182.771384831518,713.558494975069,926.30802604002,1641.4328497517
ZAF,2010,51216964,1234.17409814652,182.727138811478,692.711891317885,901.9968114497,1616.89550798075
ZAF,2011,52003755,1200.80873976699,160.130953647175,696.974670386783,907.407219579784,1534.12831291065
ZAF,2012,52832658,1161.77165691507,196.147444288394,612.621079938852,809.236184796689,1576.198978245
ZAF,2013,53687121,1105.22785800895,186.600885306879,581.852768748766,769.86682940597,1499.50174429322
ZAF,2014,54544186,1067.90556324893,180.299584454356,561.317387704713,743.879765368686,1448.87601803164
ZAF,2015,55386367,988.216544074731,166.845307655787,518.582487997453,688.390788328482,1340.77952009823
ZAF,2016,56207646,805.026909775324,135.916528859988,421.7308798166,560.819632563053,1092.27350186618
ZAF,2017,57009756,738.443879068732,124.674998540035,386.184778619295,514.447591758659,1001.94574446747
ZAF,2018,57792518,677.367869213546,114.363244789527,394.513005991537,471.908890831422,919.086808009995
